"   Full Name             ","Short Name","FSF Free?","GPLv2 Compat?","GPLv3 Compat?","Upstream URL ",
"OReilly License                ","   OReilly      ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/OReilly"" class=""external free"">https://fedoraproject.org/wiki/Licensing/OReilly</a> ",
"Par License                    ","   Par          ","   Yes         ","Yes                ","Yes        ","<a href=""https://fedoraproject.org/wiki/Licensing/Par"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Par</a> ",
"Perl License                   ","   GPL+ or Artistic"," Yes        ","Yes                ","Yes                ","<a href=""http://dev.perl.org/licenses/"" class=""external free"">http://dev.perl.org/licenses/</a> ",
"Perl License (variant)         ","   GPLv2 or Artistic","  Yes      ","Yes                ","NO           ","Some perl packages explicitly state GPLv2, only use this license for those cases ",
"Perl License (variant)         ","   GPLv2+ or Artistic"," Yes      ","Yes                ","Yes                ","Some perl packages explicitly state GPLv2+, only use this license for those cases ",
"Perl License (variant)         ","   LGPLv2+ or Artistic"," Yes     ","Yes                ","Yes                ","Some perl packages explicitly state LGPLv2+ (extremely uncommon), only use this license for those cases ",
"Phorum License                 ","   Phorum       ","   Yes         ","NO           ","                   ","<a href=""http://phorum.org/license.txt"" class=""external free"">http://phorum.org/license.txt</a> ",
"PHP License v3.0               ","   PHP          ","   Yes         ","NO           ","NO                   ","<a href=""http://www.php.net/license/3_01.txt"" class=""external free"">http://www.php.net/license/3_01.txt</a> ",
"PlainTeX License               ","   PlainTeX     ","   Yes (only on TeX, see license page)","NO        ","NO","<a href=""https://fedoraproject.org/wiki/Licensing/PlainTeX"" class=""external free"">https://fedoraproject.org/wiki/Licensing/PlainTeX</a> ",
"Plexus Classworlds License     ","   Plexus       ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/Plexus_Classworlds_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Plexus_Classworlds_License</a> ",
"PostgreSQL License             ","   PostgreSQL   ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/PostgreSQL_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/PostgreSQL_License</a> ",
"psfrag License                 ","   psfrag       ","   Yes (but only for tex) ","NO","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/psfrag"" class=""external free"">https://fedoraproject.org/wiki/Licensing/psfrag</a> ",
"psutils License                ","   psutils      ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/psutils"" class=""external free"">https://fedoraproject.org/wiki/Licensing/psutils</a> ",
"Public Domain                  ","   Public Domain","   Yes         ","Yes                ","Yes                ","Being in the public domain is not a license; rather, it means the material is not copyrighted and no license is needed. ",
"Python License                 ","   Python       ","   Yes         ","Yes                ","Yes                ","<a href=""https://docs.python.org/2/license.html"" class=""external free"">https://docs.python.org/2/license.html</a> ",
"Qhull License                  ","   Qhull        ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/Qhull"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Qhull</a> ",
"Q Public License               ","   QPL          ","   Yes         ","NO           ","NO           ","<a href=""http://doc.qt.digia.com/3.0/license.html"" class=""external free"">http://doc.qt.digia.com/3.0/license.html</a> ",
